17073, 16638,16639
20063, 19471,19472
19716, 19130,19131
17941, 17468,17469
16005, 15589,15590
14799, 14432,14433
14430, 14079,14080
11952, 11685,11686
19981, 19388,19721
20287, 19686,19687
14336, 13989,14036
11296, 11046,11047
16796, 16365,16662
11772, 11512,11513
21672, 21025,21026
20870, 20250,20251
11565, 11309,11310
15960, 15545,15546
19675, 19089,19090
10729, 10499,10500
15260, 14882,14883
19956, 19366,19367
13912, 13575,13576
20705, 20092,20095
18680, 18149,18150
14657, 14296,14301
13054, 12756,12757
18850, 18308,18360
19604, 19021,19059
14477, 14126,14127
13350, 13037,13038
21246, 20603,20604
15462, 15079,15080
11010, 10772,10773
17086, 16651,16652
21546, 20896,20897
19848, 19260,19261
20993, 20367,20368
20666, 20054,20055
18976, 18426,18461
18318, 17814,17855
17249, 16809,16810
14974, 14603,14604
11513, 11258,11259
18507, 17988,17998
17623, 17169,17170
12743, 12453,12454
13781, 13448,13449
14841, 14472,14473
19886, 19298,19299
13538, 13220,13221
19303, 18737,18738
16823, 16392,16393
14699, 14329,14330
20115, 19522,19523
15342, 14960,14961
20665, 20053,20054
12403, 12123,12124
16456, 16032,16033
20232, 19635,19647
21300, 20657,20658
13231, 12924,12925
12903, 12609,12610
18441, 17924,17951
20733, 20120,20200
14688, 14320,14337
17242, 16803,16804
10987, 10749,10750
16372, 15948,15949
18918, 18375,18376
21505, 20856,20857
17107, 16672,16673
21325, 20682,20683
16649, 16221,16222
20406, 19803,19804
14946, 14578,14579
12118, 11845,11900
11173, 10925,10926
14486, 14135,14136
16342, 15919,15920
17194, 16755,16756
13343, 13030,13031
18791, 18250,18400
21504, 20855,20870
11136, 10890,10891
10961, 10722,10723
14375, 14026,14027
18620, 18092,18183
21122, 20491,20492
18669, 18139,18202
18437, 17921,17922
17890, 17420,17421
21082, 20455,20456
17564, 17109,17110
20572, 19961,19962
14794, 14428,14429
19688, 19100,19101
11726, 11466,11467
19792, 19202,19329
15480, 15096,15208
20822, 20207,20208
18948, 18399,18521
14998, 14626,14631
13683, 13355,13356
11652, 11394,11395
21471, 20823,20824
17053, 16618,16619
11223, 10975,10976
15258, 14879,14880
17478, 17027,17028
11255, 11006,11007
20447, 19844,19845
18618, 18090,18091
19400, 18826,18834
17042, 16606,16607
20170, 19575,19576
11311, 11061,11062
15935, 15523,15524
18817, 18276,18277
19372, 18797,18798
18172, 17683,17691
13794, 13462,13463
17344, 16899,17005
18966, 18416,18417
13545, 13226,13235
11588, 11332,11333
14620, 14259,14260
16086, 15666,15667
18737, 18200,18201
14503, 14149,14150
20069, 19477,19478
16065, 15647,15648
21421, 20776,20777
13113, 12811,12999
12742, 12452,12453
20158, 19563,19564
17897, 17426,17427
19503, 18924,18925
19324, 18755,18785
17044, 16608,16609
20422, 19819,19820
21280, 20638,20647
15866, 15457,15530
20731, 20118,20119
11385, 11134,11135
16790, 16358,16359
20005, 19413,19414
19615, 19032,19082
12224, 11947,11948
12163, 11887,12056
14088, 13748,13749
18702, 18168,18169
20903, 20279,20280
19845, 19257,19258
15042, 14670,14671
19962, 19371,19372
12094, 11825,11826
19959, 19368,19378
16466, 16042,16043
18157, 17667,17682
15001, 14629,14630
18140, 17651,17669
17426, 16977,16978
20842, 20222,20223
18933, 18389,18393
12088, 11819,11820
20105, 19512,19513
19263, 18700,18747
14785, 14418,14419
12409, 12129,12130
17118, 16683,16684
12821, 12527,12528
15491, 15107,15108
14073, 13734,13735
19355, 18783,18852
15063, 14690,14691
20787, 20171,20172
13448, 13131,13132
11124, 10877,10878
18849, 18307,18330
16428, 16004,16005
18968, 18419,18425
17418, 16968,17191
20712, 20098,20214
11382, 11131,11132
10962, 10723,10724
15827, 15423,15424
11825, 11561,11562
13257, 12952,12953
15155, 14779,14780
19598, 19016,19017
20185, 19590,19598
